run_id,method,seed,region,n_points,rmse,ll,picp95,mpiw95,sigma_fitted,n_parameters,fit_seconds,n_train,grid_points,noise_sigma,z,torch_threads,quick,cache
20260904T210105Z,laplace,2,in_range,300,0.10428415841587872,0.8416724698385101,0.95,0.41228643056074255,0.10354166027843814,152,7.782,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,2,extrapolation,200,0.3869529700562981,-0.16289878601716978,0.845,0.8509444206907867,0.10354166027843814,152,7.782,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,laplace,2,overall,500,0.2577171935126971,0.4398439674962381,0.908,0.5877496266127603,0.10354166027843816,152,7.782,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,2,in_range,300,0.10342580884500041,0.8500269927635293,0.9533333333333334,0.40566697124680223,0.10211644655822652,3,0.762,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,2,extrapolation,200,0.12262038237871321,0.2668473673643365,1.0,1.2221978154817512,0.10211644655822652,3,0.762,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,gp,2,overall,500,0.1115008611223531,0.6167551426038521,0.972,0.7322793089407817,0.10211644655822652,3,0.762,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,3,in_range,300,0.10328645235724107,0.8504873014751678,0.9366666666666666,0.3935308242375638,0.10039236112032793,152,4.579,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,3,extrapolation,200,0.30007717638696474,-3.0874611449983353,0.545,0.39353082423756375,0.10039236112032793,152,4.579,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,map,3,overall,500,0.20595965493192153,-0.7246920771142333,0.78,0.39353082423756375,0.10039236112032793,152,4.579,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,3,in_range,300,0.1516851177769738,0.386601940966879,1.0,0.8387556226942355,0.17540342091546957,152,3.698,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,3,extrapolation,200,0.8189635686831465,-5.324506987944278,0.11,0.9355530591362066,0.17540342091546954,152,3.698,250,500,0.1,1.959963984540054,1,False,False
20260904T210105Z,mcd,3,overall,500,0.5311172711417907,-1.897841630597584,0.644,0.877474597271024,0.17540342091546954,152,3.698,250,500,0.1,1.959963984540054,1,False,False
